Date,Permintaan
01/01/2023,117.12
02/01/2023,90.09
03/01/2023,90.09
04/01/2023,90.09
05/01/2023,90.09
06/01/2023,90.09
07/01/2023,108.11
08/01/2023,117.12
09/01/2023,90.09
10/01/2023,90.09
11/01/2023,90.09
12/01/2023,90.09
13/01/2023,90.09
14/01/2023,108.11
15/01/2023,117.12
16/01/2023,90.09
17/01/2023,90.09
18/01/2023,90.09
19/01/2023,90.09
20/01/2023,90.09
21/01/2023,108.11
22/01/2023,117.12
23/01/2023,90.09
24/01/2023,90.09
25/01/2023,90.09
26/01/2023,90.09
27/01/2023,90.09
28/01/2023,108.11
29/01/2023,117.12
30/01/2023,90.09
31/01/2023,90.09
01/02/2023,100.0
02/02/2023,100.0
03/02/2023,100.0
04/02/2023,120.0
05/02/2023,130.0
06/02/2023,100.0
07/02/2023,100.0
08/02/2023,100.0
09/02/2023,100.0
10/02/2023,100.0
11/02/2023,120.0
12/02/2023,130.0
13/02/2023,100.0
14/02/2023,100.0
15/02/2023,100.0
16/02/2023,100.0
17/02/2023,100.0
18/02/2023,120.0
19/02/2023,130.0
20/02/2023,100.0
21/02/2023,100.0
22/02/2023,100.0
23/02/2023,100.0
24/02/2023,100.0
25/02/2023,120.0
26/02/2023,130.0
27/02/2023,100.0
28/02/2023,100.0
01/03/2023,90.91
02/03/2023,90.91
03/03/2023,90.91
04/03/2023,109.09
05/03/2023,118.18
06/03/2023,90.91
07/03/2023,90.91
08/03/2023,90.91
09/03/2023,90.91
10/03/2023,90.91
11/03/2023,109.09
12/03/2023,118.18
13/03/2023,90.91
14/03/2023,90.91
15/03/2023,90.91
16/03/2023,90.91
17/03/2023,90.91
18/03/2023,109.09
19/03/2023,118.18
20/03/2023,90.91
21/03/2023,90.91
22/03/2023,90.91
23/03/2023,90.91
24/03/2023,90.91
25/03/2023,109.09
26/03/2023,118.18
27/03/2023,90.91
28/03/2023,90.91
29/03/2023,90.91
30/03/2023,90.91
31/03/2023,90.91
01/04/2023,110.77
02/04/2023,120.0
03/04/2023,92.31
04/04/2023,92.31
05/04/2023,92.31
06/04/2023,92.31
07/04/2023,92.31
08/04/2023,110.77
09/04/2023,120.0
10/04/2023,92.31
11/04/2023,92.31
12/04/2023,92.31
13/04/2023,92.31
14/04/2023,92.31
15/04/2023,110.77
16/04/2023,120.0
17/04/2023,92.31
18/04/2023,92.31
19/04/2023,92.31
20/04/2023,92.31
21/04/2023,92.31
22/04/2023,110.77
23/04/2023,120.0
24/04/2023,92.31
25/04/2023,92.31
26/04/2023,92.31
27/04/2023,92.31
28/04/2023,92.31
29/04/2023,110.77
30/04/2023,120.0
01/05/2023,90.91
02/05/2023,90.91
03/05/2023,90.91
04/05/2023,90.91
05/05/2023,90.91
06/05/2023,109.09
07/05/2023,118.18
08/05/2023,90.91
09/05/2023,90.91
10/05/2023,90.91
11/05/2023,90.91
12/05/2023,90.91
13/05/2023,109.09
14/05/2023,118.18
15/05/2023,90.91
16/05/2023,90.91
17/05/2023,90.91
18/05/2023,90.91
19/05/2023,90.91
20/05/2023,109.09
21/05/2023,118.18
22/05/2023,90.91
23/05/2023,90.91
24/05/2023,90.91
25/05/2023,90.91
26/05/2023,90.91
27/05/2023,109.09
28/05/2023,118.18
29/05/2023,90.91
30/05/2023,90.91
31/05/2023,90.91
01/06/2023,93.75
02/06/2023,93.75
03/06/2023,112.5
04/06/2023,121.88
05/06/2023,93.75
06/06/2023,93.75
07/06/2023,93.75
08/06/2023,93.75
09/06/2023,93.75
10/06/2023,112.5
11/06/2023,121.88
12/06/2023,93.75
13/06/2023,93.75
14/06/2023,93.75
15/06/2023,93.75
16/06/2023,93.75
17/06/2023,112.5
18/06/2023,121.88
19/06/2023,93.75
20/06/2023,93.75
21/06/2023,93.75
22/06/2023,93.75
23/06/2023,93.75
24/06/2023,112.5
25/06/2023,121.88
26/06/2023,93.75
27/06/2023,93.75
28/06/2023,93.75
29/06/2023,93.75
30/06/2023,93.75
01/07/2023,107.46
02/07/2023,116.42
03/07/2023,89.55
04/07/2023,89.55
05/07/2023,89.55
06/07/2023,89.55
07/07/2023,89.55
08/07/2023,107.46
09/07/2023,116.42
10/07/2023,89.55
11/07/2023,89.55
12/07/2023,89.55
13/07/2023,89.55
14/07/2023,89.55
15/07/2023,107.46
16/07/2023,116.42
17/07/2023,89.55
18/07/2023,89.55
19/07/2023,89.55
20/07/2023,89.55
21/07/2023,89.55
22/07/2023,107.46
23/07/2023,116.42
24/07/2023,89.55
25/07/2023,89.55
26/07/2023,89.55
27/07/2023,89.55
28/07/2023,89.55
29/07/2023,107.46
30/07/2023,116.42
31/07/2023,89.55
01/08/2023,90.91
02/08/2023,90.91
03/08/2023,90.91
04/08/2023,90.91
05/08/2023,109.09
06/08/2023,118.18
07/08/2023,90.91
08/08/2023,90.91
09/08/2023,90.91
10/08/2023,90.91
11/08/2023,90.91
12/08/2023,109.09
13/08/2023,118.18
14/08/2023,90.91
15/08/2023,90.91
16/08/2023,90.91
17/08/2023,90.91
18/08/2023,90.91
19/08/2023,109.09
20/08/2023,118.18
21/08/2023,90.91
22/08/2023,90.91
23/08/2023,90.91
24/08/2023,90.91
25/08/2023,90.91
26/08/2023,109.09
27/08/2023,118.18
28/08/2023,90.91
29/08/2023,90.91
30/08/2023,90.91
31/08/2023,90.91
01/09/2023,93.17
02/09/2023,111.8
03/09/2023,121.12
04/09/2023,93.17
05/09/2023,93.17
06/09/2023,93.17
07/09/2023,93.17
08/09/2023,93.17
09/09/2023,111.8
10/09/2023,121.12
11/09/2023,93.17
12/09/2023,93.17
13/09/2023,93.17
14/09/2023,93.17
15/09/2023,93.17
16/09/2023,111.8
17/09/2023,121.12
18/09/2023,93.17
19/09/2023,93.17
20/09/2023,93.17
21/09/2023,93.17
22/09/2023,93.17
23/09/2023,111.8
24/09/2023,121.12
25/09/2023,93.17
26/09/2023,93.17
27/09/2023,93.17
28/09/2023,93.17
29/09/2023,93.17
30/09/2023,111.8
01/10/2023,117.12
02/10/2023,90.09
03/10/2023,90.09
04/10/2023,90.09
05/10/2023,90.09
06/10/2023,90.09
07/10/2023,108.11
08/10/2023,117.12
09/10/2023,90.09
10/10/2023,90.09
11/10/2023,90.09
12/10/2023,90.09
13/10/2023,90.09
